[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run ParseTemplate Behavior [ RunTime:0.052032s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_parse ] --END-- [ RunTime:0.052138s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run ContentReplace Behavior [ RunTime:0.000581s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run TokenBuild Behavior [ RunTime:0.001643s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000324s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run ShowRuntime Behavior [ RunTime:0.000455s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003215s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_end ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run ShowPageTrace Behavior [ RunTime:0.000488s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_end ] --END-- [ RunTime:0.000548s ]
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run CheckRoute Behavior [ RunTime:0.000878s ]
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --END-- [ RunTime:0.000966s ]
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000527s ]
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000597s ]
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 2 for removeDir(), called in D:\xampp\htdocs\yiyuan\Lib\Action\admin\filecacheAction.class.php on line 5 and defined common.php 第 627 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] Undefined variable: handle common.php 第 628 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] rmdir(D:/xampp/htdocs/yiyuan/Runtime/) [<a href='function.rmdir'>function.rmdir</a>]: Directory not empty common.php 第 634 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] readdir() expects parameter 1 to be resource, string given common.php 第 635 行.
[ 2012-05-17T15:47:33+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] unlink() [<a href='function.unlink'>function.unlink</a>]: Invalid argument common.php 第 639 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run CheckRoute Behavior [ RunTime:0.001401s ]
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --END-- [ RunTime:0.001521s ]
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000917s ]
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001024s ]
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 2 for removeDir(), called in D:\xampp\htdocs\yiyuan\Lib\Action\admin\filecacheAction.class.php on line 5 and defined common.php 第 627 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] Undefined variable: handle common.php 第 628 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] opendir(D:/xampp/htdocs/yiyuan/Runtime/Data,D:/xampp/htdocs/yiyuan/Runtime/Data) [<a href='function.opendir'>function.opendir</a>]: ϵͳ�Ҳ���ָ�����ļ��� (code: 2) common.php 第 629 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] opendir(D:/xampp/htdocs/yiyuan/Runtime/Data) [<a href='function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory common.php 第 629 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] rmdir(D:/xampp/htdocs/yiyuan/Runtime/) [<a href='function.rmdir'>function.rmdir</a>]: Directory not empty common.php 第 634 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] readdir() expects parameter 1 to be resource, string given common.php 第 635 行.
[ 2012-05-17T15:48:08+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] unlink() [<a href='function.unlink'>function.unlink</a>]: Invalid argument common.php 第 640 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run CheckRoute Behavior [ RunTime:0.000783s ]
